Name,Country,INN,YearSum,Id
sing,German,6065877099753,460884,1
senior,Poland,2215158770537,201876,2
figure,Russia,8143112496248,646204,3
American,Ukraine,6152968260551,474620,4
onto,Poland,8234136124004,805668,5
purpose,USA,1100690377682,420319,6
concern,USA,3394328279037,276622,7
strategy,France,1511036688633,624044,8
significant,Ukraine,3434330088701,577613,9
hear,Ukraine,3023695582051,397488,10
series,German,1721601246562,278008,11
option,Ukraine,4929999254872,325737,12
with,France,9863807818368,169329,13
human,Ukraine,8512203312908,857036,14
clear,Latvia,2500685239947,400655,15
never,Latvia,3559515730291,704478,16
under,Russia,6813377900403,379023,17
every,Russia,7651792798436,480560,18
land,Russia,3959617126718,692595,19
defense,Poland,4865570836724,208173,20
shake,Russia,6423911375256,654963,21
resource,France,3796792546755,167419,22
rate,Ukraine,2860573187213,391124,23
represent,France,7650118800555,345043,24
other,Latvia,4892976348864,696383,25
money,Poland,2577591716284,593454,26
require,Ukraine,4403332759918,944824,27
fight,Latvia,4664914834136,207228,28
cultural,Russia,4888558348286,478637,29
pay,USA,1936772586906,870865,30
change,Latvia,8809118188875,521579,31
firm,Ukraine,3829793343754,987712,32
painting,USA,7401101644009,134444,33
local,Ukraine,6089374351461,883410,34
attention,France,6435499024307,760639,35
site,German,6058444298096,939122,36
high,USA,6490287450251,354785,37
season,USA,1343387305112,588238,38
share,Poland,8213644045559,707739,39
across,Latvia,8955603689359,609985,40
technology,Latvia,5229541680921,872984,41
expert,Russia,6011808352663,689001,42
imagine,Russia,7189685254612,227235,43
business,German,1404782694924,230067,44
be,German,3121088788008,517056,45
nearly,Latvia,4007676920808,666162,46
light,German,3886467050221,194416,47
event,Latvia,3567071676167,140452,48
affect,Ukraine,9204513227323,543733,49
affect,USA,8534548063919,255143,50
professor,Russia,2014555549138,822522,51
heavy,Poland,8513974892185,371670,52
statement,Ukraine,2040225206567,406617,53
body,Poland,9497426035745,277455,54
difference,France,7585934927195,903005,55
data,USA,8999398810879,523277,56
white,Poland,6444358393247,609870,57
no,Latvia,1594789422650,442600,58
require,France,9332446151207,343677,59
kind,Latvia,4198341352822,553387,60
age,USA,9867237916564,472214,61
institution,Ukraine,8513879740085,347324,62
security,German,2435451922854,891914,63
to,Poland,2071644794121,874342,64
success,German,1565944562906,802509,65
represent,German,4845181735867,820644,66
contain,USA,6846257799426,611389,67
standard,Ukraine,3228641411332,147768,68
than,Latvia,7826809404444,106205,69
report,Poland,2163540185516,339883,70
home,Ukraine,9014757162352,221504,71
actually,Latvia,5569596701046,870051,72
party,Poland,6030748053673,321531,73
occur,USA,6811758082016,256923,74
trial,Poland,9226381130304,373072,75
suggest,France,4209070375540,274102,76
so,Poland,2815034827861,724744,77
short,Ukraine,4491025670800,241950,78
various,USA,8383398761643,582845,79
society,German,7076343040149,445364,80
happy,Poland,5477563187681,711729,81
free,German,9744908686547,856530,82
employee,Latvia,6712346224156,513009,83
sign,Ukraine,8410950235130,665995,84
might,Latvia,8799862537894,999574,85
remain,Latvia,8236592884805,721439,86
then,France,7333070991327,530636,87
blue,Russia,3875428935095,909419,88
plan,USA,8183875909121,287380,89
either,Ukraine,9789887376495,907071,90
must,Poland,3937228411803,475641,91
blue,Russia,7327470322657,349719,92
help,German,3677079634981,482188,93
career,Ukraine,1066221504791,289648,94
five,USA,2321222183386,810269,95
without,Ukraine,6028842459517,186136,96
think,German,6286141706795,370293,97
bill,Ukraine,6242116166221,815580,98
heart,USA,2256917899600,310347,99
person,USA,3458406010584,132442,100
class,Russia,1019416714711,826557,101
wish,Latvia,9788823989632,303846,102
question,German,2047204938069,622050,103
attack,Latvia,7069363607294,351269,104
whose,USA,4571477589170,771104,105
environment,Russia,6302628021341,823918,106
region,Russia,2585377157925,172346,107
parent,German,4473107335541,188777,108
common,Latvia,9166401818721,681064,109
method,France,9026677925684,372636,110
than,Latvia,5935525295073,234493,111
unit,Russia,3804527247464,547284,112
represent,Latvia,9124269792967,658878,113
for,Latvia,2124511892383,752609,114
young,France,3674436690807,879041,115
these,Ukraine,7416030094841,436645,116
official,Ukraine,5038490713258,731366,117
yeah,Ukraine,1595103616914,912188,118
policy,German,3169994285073,422862,119
house,USA,7025160584355,242831,120
minute,USA,6131453423060,639497,121
something,USA,5605856757840,654518,122
so,Ukraine,9799291131109,702156,123
everything,German,7597914831385,714728,124
compare,Poland,9886022952651,104962,125
region,Latvia,1751515288018,308409,126
number,Poland,5457326809439,909313,127
society,Poland,2305568773845,862045,128
civil,France,4037475807691,243493,129
think,German,2665463673575,568612,130
admit,Russia,1027111657061,686777,131
item,USA,8556385582132,860204,132
anything,USA,2904885403221,998193,133
mouth,France,9405771065334,643455,134
check,German,4966280635661,649466,135
our,Poland,9592021590373,890668,136
particularly,Poland,3112519819978,767280,137
democratic,Ukraine,1970805264503,310052,138
many,Poland,2175726862634,308075,139
room,Latvia,2201419538537,608271,140
still,Russia,4615932642331,465183,141
even,USA,9994783437616,132954,142
end,Poland,9661039863299,588407,143
performance,Russia,1835423128570,737076,144
avoid,Poland,8329514594685,695948,145
manage,German,6144092377897,246619,146
between,Russia,1768421011371,790614,147
seven,Russia,4261702026736,593002,148
leader,France,5476590985607,964785,149
ever,Poland,2890672045554,412119,150
remember,Ukraine,7301071646544,880186,151
to,Poland,3722812411521,765954,152
account,Ukraine,9452052471325,756193,153
outside,Ukraine,6661234289662,955469,154
dog,Ukraine,5953258961695,734271,155
seven,Ukraine,7950165909078,153776,156
author,Poland,9822391303692,639847,157
throw,Poland,1623879487048,166445,158
pattern,France,6331822580289,846826,159
bank,Poland,8504305381861,684041,160
agency,USA,7759344838813,365678,161
create,Russia,9462435911667,372474,162
certain,Latvia,3999844942446,323290,163
tax,Poland,5763302519679,215601,164
